timesteps,goals,ball_touches,avg_ball_speed,avg_car_speed,avg_boost,steps
28958622,23,172,261.0,871.8,15.0,50006
29008635,37,143,222.0,867.8,16.5,50013
29058659,27,148,214.7,863.8,15.9,50024
29108688,24,158,237.6,873.5,15.3,50029
29158691,28,142,214.6,850.7,14.6,50003
29208708,32,144,223.4,885.3,16.2,50017
29258728,26,153,212.4,862.1,15.0,50020
29308743,26,132,209.0,847.8,15.3,50015
29358761,34,157,240.4,868.7,14.9,50018
29408770,30,176,260.0,866.5,14.9,50009
29458787,22,164,230.6,857.0,15.4,50017
29508799,44,196,284.0,877.6,15.0,50012
29558823,40,148,234.7,860.0,15.3,50024
29608846,31,152,224.8,857.6,14.7,50023
29658871,31,195,260.7,851.6,14.7,50025
29708889,31,172,248.2,865.6,14.8,50018
29758899,25,145,218.7,848.7,15.0,50010
29808909,31,154,228.8,862.5,15.0,50010
29858922,32,160,238.0,860.0,15.1,50013
29908934,27,140,218.8,833.6,15.4,50012
29958963,32,158,239.1,852.3,15.8,50029
30008993,40,161,218.2,864.0,14.7,50030
30059002,34,145,223.2,848.5,14.5,50009
30109025,33,143,227.7,876.6,15.4,50023
